dist,x,y
66,37.56577682,55.68993759
85,37.62036514,55.66676712
90,37.60202408,55.61296082
90,37.6057663,55.61745834
85,37.60723114,55.67012787
66,37.57928467,55.6780014
89,37.59201431,55.63464737
70,37.59646988,55.6814003
80,37.60137558,55.69451523
66,37.59379578,55.68930435
68,37.59173584,55.65018082
66,37.58610535,55.68391037
68,37.58401108,55.64799118
68,37.58218002,55.64658737
89,37.59329224,55.63953018
68,37.60296631,55.64861679
70,37.60792542,55.68095398
70,37.59339905,55.6726799
68,37.59150314,55.65907288
85,37.62086868,55.66221619
68,37.60189819,55.66400909
70,37.6059761,55.67803574
85,37.60960388,55.64931107
80,37.61051941,55.69035339
68,37.6003952,55.65642929
66,37.59530258,55.69255447
70,37.59739685,55.67317963
68,37.59728622,55.65779495
68,37.60319901,55.65375519
85,37.61478043,55.65939331
89,37.59329987,55.62974167
90,37.59792709,55.62147141
90,37.59540939,55.61862183
91,37.59980392,55.58243561
77,37.64344406,55.58942032
74,37.55804062,55.67036057
74,37.56266785,55.67400742
91,37.58422852,55.60389328
66,37.58192825,55.69267273
70,37.59566116,55.68561935
85,37.61851501,55.66638947
89,37.59321976,55.63002396
68,37.57206345,55.65258789
74,37.56600189,55.66056824
68,37.57043839,55.64940262
85,37.61628723,55.64856339
89,37.60464478,55.63291931
70,37.60065842,55.67207336
70,37.6000824,55.67481232
70,37.59861755,55.67552567
68,37.59804153,55.65899658
68,37.60206604,55.66329956
68,37.60029984,55.65232086
91,37.59052277,55.60300446
91,37.5979538,55.59760666
66,37.58342743,55.69136047
89,37.60211182,55.62463379
90,37.5815773,55.60633469
68,37.59762955,55.64548111
89,37.59064865,55.63853455
68,37.586483,55.65515137
70,37.59714508,55.67416763
68,37.58324051,55.66189575
90,37.59070587,55.61213684
91,37.5876236,55.60265732
90,37.58586121,55.60800552
66,37.58099365,55.68881226
74,37.57744598,55.66574478
68,37.57932281,55.64745712
90,37.60784531,55.62091446
77,37.6582489,55.5787468
90,37.58049011,55.60890198
89,37.59496307,55.62575531
74,37.57364655,55.67339325
89,37.58942795,55.63577271
68,37.58177567,55.66247177
85,37.60970306,55.65671158
85,37.61704254,55.66233826
89,37.60100555,55.63021851
91,37.61422348,55.60756683
68,37.57902527,55.65232468
70,37.60299301,55.68292618
66,37.58871841,55.6836853
89,37.60801315,55.6237793
80,37.61195755,55.69444275
70,37.59577179,55.67795181
91,37.61033249,55.58965683
68,37.58824921,55.64974976
91,37.58877945,55.597332
90,37.58774948,55.61965942
90,37.59717178,55.6124115
91,37.60871506,55.58115005
91,37.60951233,55.59069824
91,37.59098053,55.59610748
68,37.60138321,55.64213181
89,37.59930038,55.63991165
90,37.59421539,55.60947037
91,37.58156967,55.60161591
91,37.59531021,55.59481812
70,37.59029007,55.66701508
68,37.59938812,55.6629982
85,37.61884689,55.65249252
66,37.58372498,55.68681717
85,37.61496735,55.66255569
91,37.59397507,55.60450363
89,37.59147644,55.639431
85,37.60830307,55.64459229
91,37.61381531,55.5977478
85,37.61783218,55.65543747
68,37.5921936,55.65534592
77,37.65692902,55.58265686
68,37.60377502,55.64809418
74,37.57345581,55.66942596
90,37.59189987,55.62367249
85,37.60663986,55.64260101
66,37.59014511,55.68748856
74,37.56769943,55.65896606
89,37.61095047,55.63441849
91,37.6068306,55.59552002
66,37.57767868,55.69359589
74,37.56736755,55.65410614
74,37.56038666,55.67198944
68,37.57682419,55.65586853
66,37.57794952,55.67322922
91,37.59893036,55.60350037
89,37.61025238,55.6374321
74,37.57139969,55.65997314
80,37.61173248,55.69207382
70,37.59571457,55.68610382
91,37.61741257,55.59716034
74,37.56544113,55.65520477
68,37.6003418,55.6484642
68,37.58472824,55.64754486
80,37.61291122,55.69225311
90,37.59051514,55.61916351
89,37.60142136,55.6333313
91,37.59841919,55.57955933
91,37.59871674,55.58238602
91,37.60788727,55.5940094
90,37.59930038,55.60720062
77,37.64892578,55.58865738
74,37.56075287,55.6640358
89,37.60942459,55.62539291
68,37.57861328,55.65043259
68,37.57507324,55.65864182
74,37.57344818,55.66120529
68,37.58421707,55.65825272
77,37.65159225,55.58479309
68,37.60715103,55.66149521
68,37.59643555,55.64814758
85,37.60713577,55.65388489
85,37.62125397,55.65766525
91,37.60454559,55.59746552
89,37.60023499,55.63636017
89,37.58902359,55.6325798
85,37.61073685,55.65607834
85,37.60919189,55.64279556
68,37.58649826,55.65449142
70,37.60870743,55.67715454
68,37.60005569,55.6614151
80,37.60397339,55.69525146
85,37.61149216,55.66667175
70,37.58807373,55.66828537
70,37.61048508,55.67953873
90,37.59910202,55.61805725
70,37.59269714,55.66879272
74,37.56284714,55.65885544
80,37.60453033,55.6944809
89,37.61612701,55.63519669
85,37.61842728,55.65638733
80,37.60936356,55.69195938
70,37.60305786,55.68808746
68,37.57937622,55.6526947
89,37.59708023,55.63254547
91,37.60618973,55.59120178
