id,dist,x,y
723,50,37.464521,55.781287
724,77,37.645248,55.577834
725,77,37.649866,55.577553
726,77,37.64707,55.576909
727,77,37.650299,55.576392
728,77,37.650754,55.575251
729,77,37.646541,55.579285
730,102,37.597978,55.761723
731,102,37.597283,55.762168
732,102,37.597511,55.76187
733,102,37.598208,55.761849
734,86,37.720084,55.623262
735,86,37.720787,55.621985
736,86,37.724106,55.625213
737,87,37.715729,55.606018
738,91,37.611527,55.598808
739,91,37.613042,55.5986
740,91,37.614625,55.599982
741,71,37.527157,55.678058
742,58,37.708009,55.763568
743,76,37.674542,55.58477
744,63,37.770059,55.728611
745,63,37.768727,55.725269
746,71,37.540908,55.681283
747,71,37.543565,55.680986
748,69,37.52331,55.63078
749,69,37.52286,55.62832
750,41,37.610903,55.864601
751,33,37.662907,55.87237
752,53,37.595326,55.747301
753,93,37.643756,55.76363
754,19,37.540563,55.803521
755,64,37.749761,55.695601
756,64,37.73985,55.697606
757,90,37.585742,55.617443
758,90,37.582622,55.617801
759,90,37.58492,55.620809
760,90,37.588766,55.618673
761,90,37.591642,55.621312
762,90,37.589815,55.621593
763,67,37.582577,55.705636
764,86,37.72563,55.61775
765,86,37.724193,55.618834
766,86,37.722983,55.61731
767,88,37.666194,55.620199
768,88,37.663414,55.624264
769,88,37.659521,55.625111
770,88,37.660632,55.622877
771,91,37.611323,55.590201
772,91,37.611006,55.591901
773,91,37.606342,55.592044
774,91,37.608444,55.593172
775,19,37.540953,55.80235
776,68,37.602222,55.650919
777,68,37.566819,55.656522
778,102,37.517873,55.759431
779,60,37.712683,55.652278
780,67,37.550615,55.687741
781,67,37.551669,55.688348
782,68,37.59497,55.654391
783,31,37.64028,55.817628
784,95,37.711088,55.815792
785,13,37.461447,55.707297
786,13,37.462493,55.707026
787,13,37.464104,55.705724
788,3,37.827546,55.759877
789,100,37.625458,55.768782
790,100,37.626019,55.772429
791,100,37.626976,55.772365
792,9,37.542403,55.74353
793,9,37.5204,55.741938
794,9,37.518233,55.738729
795,74,37.529429,55.826881
796,18,37.455963,55.714466
797,18,37.570059,55.843907
798,10,37.546786,55.742973
799,63,37.792803,55.709199
800,57,37.783424,55.706482
801,57,37.787205,55.705534
802,57,37.785907,55.705226
803,57,37.790045,55.705342
804,60,37.748715,55.647673
805,75,37.526944,55.601647
806,55,37.856811,55.69469
807,60,37.776277,55.660571
808,32,37.575593,55.875568
809,32,37.581665,55.875796
810,12,37.427007,55.724508
811,6,37.762558,55.741521
812,96,37.780015,55.811783
813,87,37.756886,55.610167
814,87,37.751868,55.608969
815,87,37.753896,55.609057
816,41,37.629877,55.809737
817,68,37.59874,55.643466
818,68,37.595451,55.643916
819,7,37.786341,55.805667
820,6,37.805016,55.754064
821,25,37.491729,55.883227
822,86,37.697165,55.623135
823,86,37.701209,55.619286
824,86,37.709427,55.621187
825,9,37.559798,55.745169
826,9,37.546995,55.739588
827,49,37.394703,55.810436
828,49,37.395258,55.811497
829,101,37.743807,55.80409
830,79,37.660934,55.723951
831,79,37.660781,55.725685
832,79,37.660093,55.701523
833,79,37.661738,55.721559
834,79,37.655682,55.704761
835,52,37.430085,55.847054
836,48,37.430219,55.852508
837,48,37.426244,55.852604
838,48,37.434555,55.854798
839,48,37.43327,55.852054
840,47,37.449912,55.825983
841,48,37.413356,55.855038
842,48,37.417866,55.855228
843,47,37.453164,55.824885
844,47,37.454693,55.827062
845,37,37.697819,55.884188
846,37,37.697564,55.88441
847,37,37.696952,55.884391
848,41,37.592867,55.85975
849,96,37.794435,55.821087
850,6,37.796984,55.758628
851,4,37.773543,55.797176
852,4,37.801584,55.795411
853,88,37.665018,55.635325
854,88,37.660345,55.635683
855,88,37.666269,55.631744
856,78,37.759255,55.631572
857,78,37.755546,55.635138
858,78,37.756244,55.633584
859,77,37.639771,55.591376
860,58,37.703582,55.745245
861,69,37.534049,55.643653
862,67,37.574765,55.706791
863,93,37.707105,55.773792
864,93,37.705013,55.774441
865,21,37.490868,55.839032
866,105,37.623996,55.737363
867,91,37.586709,55.599395
868,91,37.582169,55.598421
869,91,37.584326,55.601543
870,91,37.586983,55.602052
871,1,37.86104,55.742095
872,104,37.682797,55.812447
873,104,37.669742,55.789958
874,59,37.767099,55.679564
875,59,37.770801,55.677564
876,59,37.766647,55.680876
877,59,37.77343,55.678769
878,59,37.769423,55.678796
879,59,37.770412,55.680186
880,59,37.771566,55.678896
881,59,37.774915,55.68029
882,67,37.545005,55.691576
883,67,37.550352,55.694413
884,60,37.768571,55.664169
885,98,37.642714,55.773558
886,72,37.532271,55.663146
887,72,37.529005,55.662467
888,102,37.546796,55.762851
889,102,37.536414,55.758991
890,5,37.792691,55.7476
891,18,37.457597,55.694276
892,18,37.45598,55.723205
893,18,37.463619,55.723196
894,18,37.456236,55.712019
895,49,37.635831,55.87652
896,49,37.402637,55.807407
897,49,37.714302,55.879872
898,52,37.456118,55.839551
899,50,37.485521,55.772504
900,50,37.491073,55.770613
901,50,37.48871,55.771443
902,50,37.492608,55.77064
903,50,37.485568,55.774334
904,50,37.478753,55.770905
905,51,37.468307,55.803339
906,51,37.463358,55.803234
907,51,37.460831,55.806838
908,51,37.471457,55.802518
909,51,37.467278,55.805374
910,51,37.486314,55.794652
911,51,37.48836,55.797335
912,51,37.498274,55.791593
913,51,37.490867,55.801333
914,97,37.63618,55.732985
915,97,37.63618,55.732985
916,85,37.617195,55.667787
917,100,37.63487,55.782259
918,100,37.642599,55.780064
919,6,37.781413,55.763347
920,13,37.448085,55.67534
921,5,37.782105,55.743298
922,96,37.813967,55.827956
923,98,37.674636,55.782674
924,78,37.766038,55.639112
925,78,37.763923,55.639577
926,78,37.766168,55.640197
927,87,37.738047,55.609913
928,87,37.742481,55.609307
929,87,37.737011,55.608315
930,82,37.660141,55.641063
931,82,37.66,55.642234
932,82,37.658764,55.641459
933,52,37.403298,55.839913
934,52,37.406414,55.848717
935,52,37.414007,55.849118
936,52,37.409622,55.848833
937,52,37.404126,55.83829
938,7,37.814659,55.80846
939,49,37.398209,55.81602
940,50,37.481656,55.77869
941,65,37.682852,55.700224
942,65,37.681129,55.703844
943,65,37.6857,55.701464
944,14,37.493905,55.676348
945,55,37.814898,55.700983
946,93,37.67709,55.76945
947,93,37.676817,55.769368
948,93,37.668105,55.769138
949,93,37.686629,55.778903
950,93,37.687481,55.778446
951,81,37.756771,55.620639
952,62,37.720247,55.677687
953,60,37.774874,55.664084
954,60,37.772327,55.666209
955,73,37.477567,55.633421
956,53,37.569939,55.724025
957,98,37.663601,55.780991
958,33,37.677008,55.866703
959,33,37.676626,55.860757
960,77,37.64942,55.583446
961,77,37.651436,55.582001
962,77,37.651004,55.58531
963,77,37.651106,55.584037
964,77,37.653417,55.585699
965,77,37.653738,55.588457
966,90,37.602442,55.615563
967,90,37.596816,55.616474
968,90,37.594784,55.61683
969,15,37.484049,55.68387
970,60,37.712966,55.650932
971,31,37.65286,55.821751
972,41,37.596352,55.868799
973,79,37.619836,55.709072
974,57,37.760389,55.704044
975,55,37.805194,55.711579
976,61,37.740799,55.739074
977,61,37.745896,55.735068
978,61,37.743384,55.733667
979,64,37.736187,55.69483
980,62,37.704531,55.6578
981,62,37.703836,55.654681
982,62,37.704737,55.654293
983,53,37.579394,55.722265
984,34,37.595963,55.89653
985,34,37.603845,55.892989
986,97,37.627565,55.726092
987,15,37.503986,55.703255
988,15,37.503847,55.703281
989,92,37.588871,55.749797
