id,dist,seats,x,y
133,102,80,37.5808294018644700,55.7591481052136400
134,39,48,37.6066217446317380,55.7904090686975070
135,31,70,37.6529843857256520,55.8253648071573710
136,31,45,37.6643169880991000,55.8205352226694000
137,104,98,37.6907269999999950,55.7841407655928520
138,12,50,37.4231890569492000,55.7248346691050000
139,100,40,37.6301815246634850,55.7765828332681860
140,100,20,37.6330398417187480,55.7874710468697760
141,95,240,37.7154420845757560,55.8132117086646030
142,106,76,37.6055141571450000,55.7634073870805000
143,106,38,37.6066072076309370,55.7628465835320600
144,106,120,37.6066854221939000,55.7628402244174000
145,53,110,37.6008328424515000,55.7458181970029000
146,92,30,37.5992404857448290,55.7480586398252740
147,92,43,37.5993338984115870,55.7484815394189750
148,60,220,37.7304872880355000,55.6439750792993000
149,106,270,37.6107901472420000,55.7607711240584000
150,106,65,37.6075697450149140,55.7638389134766190
151,106,56,37.6085926679442000,55.7642194841493000
152,106,78,37.6070844966116770,55.7642780635579170
153,106,20,37.6084370456978120,55.7619159943855820
154,106,144,37.6053595370626000,55.7640886225170000
155,106,60,37.6065127752707000,55.7635937230866000
156,106,60,37.6027700000000000,55.7658287602673040
157,106,41,37.6027682233960120,55.7658111367680930
158,106,70,37.5982925580481000,55.7680590620305000
159,106,8,37.5975504350354800,55.7686472337689030
160,106,60,37.5982437599817000,55.7683568498703000
161,106,144,37.5927970000000000,55.7714940000000000
162,106,120,37.5927970000000000,55.7714940000000000
163,106,10,37.5918435291079970,55.7720948244574830
164,106,30,37.5910270000000000,55.7725780000000000
165,106,26,37.5925879009323940,55.7724412251572300
166,106,35,37.5956299828426000,55.7759239648047000
167,18,90,37.4522998605304000,55.7238093002363000
168,102,45,37.5812620296412310,55.7704806093568880
169,102,52,37.5812620296412310,55.7704806093568880
170,102,40,37.5813170270397020,55.7743522051145250
171,102,40,37.5821968542171000,55.7747005651971000
172,102,48,37.5801369176935000,55.7735419397119000
173,101,160,37.7126536888361410,55.7912219799933670
174,45,90,37.6431011597613360,55.8702611457520180
175,81,50,37.7407144117401430,55.6287038383904640
176,98,48,37.6315879999999940,55.7660747603387750
177,54,50,37.6127156425255000,55.7353295653454000
178,54,4,37.6123062094096880,55.7347348982145900
179,54,150,37.6116045938556000,55.7318235820371000
180,54,80,37.6115982953236000,55.7314007059068000
181,54,50,37.6115891351800000,55.7305821255219000
182,29,200,37.5754537807522000,55.8123281034966000
