41;28090;29978;83194;36576;31197;38954;37463;31967;30989;28677;37234;37625;46352;40362;43418;38316;44050;61835;45121;53859;46355;52167;67954;67128;65088;51107;56181;75342;68571;61486;50247;46274;37108;25119;34435;26224;30936;28394;30465;29215;31126;29847;32828;22952
42;31682;31241;64302;35154;30485;42210;40068;33047;31885;31857;40642;44464;45368;41034;42294;44968;51114;57491;43887;57497;46605;63964;57956;65057;58307;53078;53667;61683;61481;60224;41308;52212;39449;28701;32584;29348;25961;28197;31515;29286;37563;39073;36984;36236
43;29407;28777;43932;35611;32746;36505;35959;29897;28035;35693;42168;36085;36659;39928;51016;48986;47453;26719;47255;52370;42178;63017;55718;58940;48444;47516;62429;57492;63292;51043;49892;55969;39970;27506;32008;33853;32927;27876;31166;29614;39336;35727;36195;33170
44;28105;25480;38160;31641;24269;32644;33906;29189;26304;30816;40016;34318;33605;35002;42088;42098;44630;34255;44935;47015;36234;57856;49427;52965;44820;46236;49711;52254;58813;47491;49672;47382;45887;24444;27458;30433;28379;25930;31007;28833;33874;30295;36334;31749
45;26369;21084;30464;26481;23269;27496;31178;24045;23996;26964;37142;31962;29533;28434;30184;32914;40866;44303;41487;40428;35497;45034;44367;46032;43442;38923;47080;40328;50192;35943;42339;44777;32371;19052;24941;29142;23000;22803;26350;22503;29025;22990;30600;25428
46;19836;13895;20587;24353;23324;20615;21980;20083;19201;22701;28721;22715;20153;24633;29267;29813;34716;34257;35808;35137;30154;35625;36150;42190;36328;38032;43022;34746;42826;36859;34946;39766;24370;18145;22062;23489;19941;17368;18773;17037;20809;18750;18915;20297
47;17538;13445;20112;21109;20314;17791;19920;18299;18389;18345;24601;21431;21041;26245;24491;24269;29813;33152;33407;33963;27726;31726;34419;39873;35256;34920;39907;35076;37596;32140;32134;34567;23977;15326;21419;18443;15593;17944;20520;17217;16388;19717;22485;20453
48;15616;13018;19310;18306;18345;15566;18069;16564;17369;15137;21319;20149;20172;25935;20714;20579;25871;32154;29302;29889;25770;26606;28447;37977;35563;33467;37731;34379;35624;29536;27382;36379;19746;13126;19854;18571;15709;15101;17623;16966;15773;17680;20363;20219
49;14434;11102;15596;16086;19761;14924;16233;14140;14903;15491;20167;18235;17962;16821;19544;23387;24269;26348;27707;29371;26305;25897;29383;30220;31342;29247;33561;32934;31236;28079;24526;22786;17444;12287;17854;16912;14538;12253;14835;15662;14118;14221;15322;15106
50;12604;12207;15961;15361;16636;13519;14198;15325;14254;14061;16007;16040;16542;18301;18314;20977;20044;25088;27667;25085;24241;26594;27983;25203;26736;23496;29946;29491;28792;28768;24188;18225;16623;10330;16897;14704;13382;11854;13314;13454;12553;13853;14117;13573
51;12648;12703;16201;15009;15182;13955;14968;13883;13933;15529;15321;15742;17680;19449;17488;21817;19948;23408;25552;24599;25053;26428;27074;21966;27697;24029;29412;30821;26784;29610;21731;18591;15838;11000;15294;12420;11952;11474;13378;13558;12553;13734;13527;13457
52;14588;12138;16986;14882;14672;15400;16128;9093;13048;17129;17766;17192;18445;20839;19103;23387;23933;20468;25250;24096;26091;24192;25768;21807;27093;24493;25198;26918;25194;32160;23379;18313;16352;10000;13540;10982;11637;12243;12892;12639;12553;14009;15857;13990
